index, mean-time, variance, std-deviation
non_1r_0w 0.350000 0.000000 0.000000
non_2r_0w 0.350000 0.000000 0.000000
non_3r_0w 0.632500 0.024769 0.157381
non_4r_0w 0.390000 0.000000 0.000000
non_5r_0w 0.422500 0.000019 0.004331
non_6r_0w 0.442500 0.000019 0.004330
non_7r_0w 0.452500 0.000019 0.004331
non_8r_0w 0.462500 0.000019 0.004330
rwl_1r_1w 0.855000 0.000425 0.020618
rwl_1r_2w 1.310000 0.003950 0.062851
rwl_1r_3w 1.477500 0.018369 0.135532
rwl_1r_4w 2.510000 0.002350 0.048480
rwl_1r_5w 2.790000 0.172349 0.415149
rwl_1r_6w 3.855000 0.003126 0.055912
rwl_1r_7w 4.835000 0.050524 0.224775
rwl_2r_1w 4.142500 0.010220 0.101092
rwl_3r_1w 6.430000 0.122147 0.349495
rwl_4r_1w 10.850000 0.003487 0.059048
rwl_5r_0w 14.562500 0.042023 0.204994
rwl_5r_1w 14.772499 0.135544 0.368163
rwl_6r_0w 18.244999 0.058960 0.242817
rwl_6r_1w 19.299999 0.009766 0.098821
rwl_7r_0w 22.912502 0.088257 0.297081
rwl_7r_1w 23.442499 0.055908 0.236449
rwl_8r_0w 27.015001 0.108459 0.329332
