index, mean-time, variance, std-deviation
non_1r_0w 0.350000 0.000000 0.000000
non_2r_0w 0.350000 0.000000 0.000000
non_3r_0w 0.360000 0.000000 0.000000
non_4r_0w 0.390000 0.000000 0.000000
non_5r_0w 0.420000 0.000000 0.000000
non_6r_0w 0.440000 0.000000 0.000000
non_7r_0w 0.450000 0.000000 0.000000
non_8r_0w 0.470000 0.000000 0.000000
rwl_1r_1w 0.880000 0.000000 0.000000
rwl_1r_2w 1.260000 0.000000 0.000000
rwl_1r_3w 1.510000 0.000000 0.000000
rwl_1r_4w 2.370000 0.000000 0.000000
rwl_1r_5w 2.210000 0.000000 0.000000
rwl_1r_6w 4.120000 0.000000 0.000000
rwl_1r_7w 4.870000 0.000000 0.000000
rwl_2r_1w 4.160000 0.000000 0.000000
rwl_3r_1w 6.930000 0.000000 0.000000
rwl_4r_1w 10.960000 0.000000 0.000000
rwl_5r_0w 14.390000 0.000000 0.000000
rwl_5r_1w 15.070000 0.000000 0.000000
