index, mean-time, variance, std-deviation
non_1r_0w 0.900000 0.000000 0.000345
non_2r_0w 0.930000 -0.000000 nan
non_3r_0w 0.950000 0.000000 0.000000
non_4r_0w 1.020000 0.000000 0.000000
non_5r_0w 1.253333 0.000089 0.009430
non_6r_0w 1.346667 0.000022 0.004721
non_7r_0w 1.416667 0.000089 0.009430
non_8r_0w 1.513333 0.000089 0.009430
rwl_1r_0w 1.470000 0.000000 0.000691
rwl_1r_1w 1.553333 0.000089 0.009430
rwl_2r_0w 3.376667 0.001689 0.041097
rwl_2r_1w 2.546666 0.001490 0.038596
rwl_3r_0w 6.970000 0.003803 0.061671
rwl_3r_1w 7.453333 0.000820 0.028638
rwl_4r_0w 11.660000 0.017868 0.133671
rwl_4r_1w 10.353333 0.041695 0.204193
rwl_5r_0w 13.893333 0.007019 0.083780
rwl_5r_1w 13.943334 0.044266 0.210394
rwl_6r_0w 18.093332 0.010559 0.102757
rwl_6r_1w 17.976667 0.029388 0.171431
rwl_7r_0w 22.356667 0.083069 0.288217
rwl_7r_1w 21.809999 0.012878 0.113483
rwl_8r_0w 26.293333 0.222473 0.471671
