index, mean-time, variance, std-deviation
non_1r_0w 0.860000 0.000000 0.000244
non_2r_0w 0.883333 0.000022 0.004702
non_3r_0w 0.896667 0.000022 0.004702
non_4r_0w 0.973333 0.000022 0.004715
non_5r_0w 1.160000 0.000467 0.021603
non_6r_0w 1.286667 0.000356 0.018857
non_7r_0w 1.343333 0.000155 0.012468
non_8r_0w 1.436667 0.000089 0.009443
rwl_1r_0w 1.446667 0.000089 0.009430
rwl_1r_1w 1.820000 0.000067 0.008156
rwl_2r_0w 3.416667 0.011355 0.106562
rwl_2r_1w 2.760000 0.001398 0.037391
rwl_3r_0w 6.916667 0.000957 0.030943
rwl_3r_1w 7.686666 0.001686 0.041062
rwl_4r_0w 11.620000 0.020264 0.142351
rwl_4r_1w 10.523334 0.028152 0.167787
rwl_5r_0w 14.030000 0.072861 0.269927
rwl_5r_1w 14.130000 0.048248 0.219655
rwl_6r_0w 18.620001 0.003174 0.056337
rwl_6r_1w 17.873335 0.050385 0.224465
rwl_7r_0w 22.353333 0.055115 0.234765
rwl_7r_1w 21.916666 0.109558 0.330996
rwl_8r_0w 26.636667 0.303589 0.550989
